NAME,slope_score,avg_land_use_score,total_viable_acreage,avg_viable_plot_size,utility_scale_acreage,utility_ratio,size_score,capacity_score,combined_viability_score,Total_Suitability,final_rank
RICHMOND,3.7424771669825954,2.7312651836841146,2208.99996,17.12403069767442,1551.2357,70.22343721545381,4,2,3.2,3.2961200451807318,1
LITTLE COMPTON,3.6874895537886583,2.532781957496733,3502.8657,15.43112643171806,2187.1578999999997,62.43910236124667,2,4,2.8,3.057177735325377,2
SOUTH KINGSTOWN,3.7326233062002947,2.6065697156924985,3726.253819999999,15.656528655462186,2271.5872,60.96168725296337,1,4,2.2,2.817732100308603,3
MIDDLETOWN,3.6598409755825365,2.722988961736918,2022.44392,22.22465846153846,1402.2011999999997,69.33201885766009,3,1,2.1999999999999997,2.815542133801271,4
NORTH KINGSTOWN,3.700816060902433,2.521468654205455,2029.439610000001,19.145656698113207,1382.2211000000002,68.10851099925065,3,1,2.1999999999999997,2.7895793521569425,5
PORTSMOUTH,3.595101043319921,2.4989252641948934,2273.3936500000004,18.042806746031747,1482.4421,65.20833292553621,2,2,2,2.658070418000951,6
EXETER,3.631879059080709,2.60919979999447,2811.8670000000016,14.494159793814433,1738.71,61.83471693362449,1,3,1.8000000000000003,2.6029976306771423,7
