NAME,large_plot_count,avg_large_plot_size
LITTLE COMPTON,33,66.27751212121213
SOUTH KINGSTOWN,30,75.71957333333333
PORTSMOUTH,21,70.59248095238095
EXETER,20,86.9355
MIDDLETOWN,14,100.15722857142858
NORTH KINGSTOWN,13,106.32470000000001
RICHMOND,13,119.32582307692307
