NAME,slope_score,avg_land_use_score,total_viable_acreage,avg_viable_plot_size,count_of_viable_plots,size_score,capacity_score,combined_viability_score,Total_Suitability,final_rank
MIDDLETOWN,3.6598409755825365,2.722988961736918,2022.44392,22.22465846153846,91,4,3,3.6,3.4455421338012715,1
SOUTH KINGSTOWN,3.7326233062002947,2.6065697156924985,3726.253819999999,15.656528655462186,238,3,4,3.4,3.3577321003086027,2
LITTLE COMPTON,3.6874895537886583,2.532781957496733,3502.8657,15.43112643171806,227,3,4,3.4,3.327177735325377,3
EXETER,3.631879059080709,2.60919979999447,2811.8670000000016,14.494159793814433,194,3,4,3.4,3.322997630677142,4
RICHMOND,3.7424771669825954,2.7312651836841146,2208.99996,17.12403069767442,129,3,3,3,3.2061200451807315,5
NORTH KINGSTOWN,3.700816060902433,2.521468654205455,2029.439610000001,19.145656698113207,106,3,3,3,3.149579352156943,6
PORTSMOUTH,3.595101043319921,2.4989252641948934,2273.3936500000004,18.042806746031747,126,3,3,3,3.108070418000951,7
