OBJECTID,NameplateC,OperatingM,OperatingY,Shape__Area,Shape__Length
128,4.5,12,2019,49860.3987350464,916.631185682189
129,0,10,2021,543709.384735107,3356.96743102876
130,0,3,2020,130524.630496979,1782.61373844707
131,0,4,2013,65295.0049591064,1094.28939172342
132,2.4,11,2020,326354.410873413,2731.49834135638
133,0,10,2023,1683522.95909882,5326.21036698431
134,3,3,2021,616096.379333496,3095.26823700164
135,0,10,2021,170976.767536163,1946.07970067827
136,2.6,11,2020,1220530.48064041,5855.57628365397
137,0,11,2020,352396.053611755,2439.54013863057
138,4.7,12,2018,751559.961448669,4442.48551099591
139,8.4,12,2023,1912670.78603363,6684.99699493441
140,1.9,9,2022,256733.541873932,2029.22936275678
141,0,10,2021,348782.972616196,3072.55360447116
142,4,12,2020,265469.470907211,2103.89155499678
143,0,9,2019,130640.888389587,1682.55701040701
144,3,12,2013,418848.176300049,3164.91781496874
145,3,12,2013,644955.585029602,3453.52808797261
146,9.6,12,2021,1342095.46413422,7475.62396598942
147,9.6,12,2021,3942755.84371948,10943.7264881084
148,0,5,2015,14258.8959655762,479.912663939893
149,0,2,2018,31907.3717498779,784.71976223786
150,2,12,2020,147249.987258911,1549.7339460245
151,2,12,2020,10839.3262176514,447.18031778725
152,2,12,2020,108815.001426697,1352.05047770077
153,0,8,2016,75321.7962837219,1386.54070157729
154,0,2,2018,24277.3546142578,736.098360200978
155,0,10,2021,75751.654548645,1354.73639840966
156,0,4,2013,72605.3307723999,1138.21512222674
157,2.2,10,2015,280980.449985504,2304.46061846777
158,2.2,10,2015,271700.091915131,2511.11483147484
159,2,12,2015,405810.579368591,3303.15617896781
160,5.8,4,2017,738900.704353333,4821.68310337218
161,1.5,12,2010,354128.63986969,3457.55141514117
162,2,11,2017,341264.947563171,2340.7174592428
163,1,11,2017,239418.534919739,2030.72546002915
164,2,11,2017,466065.682159424,2673.79891606014
165,0,5,2017,303566.587188721,2493.32297945571
166,2,11,2017,360501.778762817,2345.01671454348
167,1.9,8,2018,311751.852386475,2692.57185601596
168,2,5,2016,470218.789894104,3533.30924595371
169,1.2,8,2018,198222.098632813,3115.87279186663
170,1,11,2017,187825.939315796,1804.15896534948
171,0,5,2016,424577.735771179,2965.0610383776
172,1.9,8,2018,356883.374092102,2730.13003126652
173,1.8,12,2011,347938.222106934,2738.70089378548
174,0,1,2019,385858.583717346,2429.0216589548
175,5,11,2018,1105532.7092514,4575.66819669084
176,0,10,2018,200994.62515831,1854.09248836654
177,4.8,6,2014,740177.03506279,3656.11460015334
178,3.9,5,2020,1442786.70029449,8456.65073110523
179,4.7,6,2020,875317.617954254,3711.85044679132
180,0,10,2014,1317249.33052444,5264.45982482338
